municipio,hhi,hhi_norm
OURO VERDE,0.7551020408163265,0.7771563612513024
PAIAL,0.6122931442080378,0.617114679206334
PAINEL,0.21875,0.17608258490287368
PALHOCA,0.0922281915628929,0.03429335805108775
PALMA SOLA,0.12372202932098765,0.06958756512476859
PALMEIRA,0.23412546887985447,0.19331341547578598
PALMITOS,0.1741819259259259,0.12613647013185894
PAPANDUVA,0.17802051815914682,0.13043826625436866
PARAISO,0.6572138497272186,0.6674559775475407
PASSO DE TORRES,0.21954611456891793,0.17697476681685909
PASSOS MAIA,0.5431793369356421,0.5396608914444588
PAULO LOPES,0.1320625487773153,0.07893453715957659
PEDRAS GRANDES,0.24693247669438145,0.20766584814125194
PENHA,0.12318035122237814,0.06898052259389481
PERITIBA,0.299935920256319,0.26706523055574843
PESCARIA BRAVA,0.12063631190272173,0.066129493410306
PETROLANDIA,0.1768098765432099,0.12908153621044408
PINHALZINHO,0.18107223824251,0.13385823816698345
PINHEIRO PRETO,0.20048235998965158,0.1556105841824477
PIRATUBA,0.1443357498471482,0.09268874848633897
PLANALTO ALEGRE,0.24572218089063663,0.20630950563876357
POMERODE,0.17589828228935603,0.12805993964892542
PONTE ALTA,0.4580276134122288,0.4442338880477798
PONTE ALTA DO NORTE,0.440063200229819,0.4241017046128102
PONTE SERRADA,0.3255551392164498,0.29577592710502565
PORTO BELO,0.20881652202494314,0.16495043164462578
PORTO UNIAO,0.21580473640647058,0.17278191561146974
POUSO REDONDO,0.13947707844381702,0.08724377998395103
PRAIA GRANDE,0.1329134030339391,0.07988806421313754
PRESIDENTE CASTELLO BRANCO,0.3600000000000001,0.33437725789413414
PRESIDENTE GETULIO,0.2955659194351142,0.2621679006374181
PRESIDENTE NEREU,0.2502079395085066,0.2113365618761686
PRINCESA,0.815084659640381,0.8443770977604219
QUILOMBO,0.8600548595686563,0.8947738630135047
RANCHO QUEIMADO,0.33871943026068263,0.31052875645729894
RIO DAS ANTAS,0.18708374519547896,0.1405951551744518
RIO DO CAMPO,0.19124999999999998,0.14526415299307072
RIO DO OESTE,0.2302324106538483,0.1889505809354562
RIO DO SUL,0.1306585833096544,0.07736115482616489
RIO DOS CEDROS,0.17284572599723538,0.12463903062203231
RIO FORTUNA,0.24330252737859065,0.2035978719294434
RIO NEGRINHO,0.13459954152861106,0.08177766946363012
RIO RUFINO,0.5495547256535478,0.5468055999208699
RIQUEZA,0.27573894601197346,0.23994840134947143
RODEIO,0.173327230293079,0.12517863816224084
ROMELANDIA,0.13305898491083673,0.08005121349170014
SALETE,0.39658978822112,0.37538234505365026
SALTINHO,0.6593925413302576,0.6698975724137485
SALTO VELOSO,0.4149070637926135,0.39590997087085644
SANGAO,0.298349389025155,0.2652872522022792
SANTA CECILIA,0.2788133801668937,0.24339382824636532
SANTA HELENA,0.22383974768340523,0.18178651371811372
SANTA ROSA DE LIMA,0.45641671917664356,0.4424286068000242
SANTA ROSA DO SUL,0.35689279155188247,0.3308951018218477
SANTA TEREZINHA,0.24161448322896645,0.20170613106813667
SANTA TEREZINHA DO PROGRESSO,0.3653333333333334,0.3403541659008838
SANTIAGO DO SUL,0.30088213412689974,0.2681256242918431
SANTO AMARO DA IMPERATRIZ,0.11642122437910783,0.06140577021611129
SAO BENTO DO SUL,0.13051329872580852,0.0771983387150813
SAO BERNARDINO,0.39689236885877727,0.3757214381728818
SAO BONIFACIO,0.4818382155334588,0.47091772150976285
SAO CARLOS,0.4846190190635321,0.47403408530053026
SAO CRISTOVAO DO SUL,0.2250420163351655,0.18313386043017058
SAO DOMINGOS,0.21600807978790557,0.17300979648983567
SAO FRANCISCO DO SUL,0.16276789576124567,0.11334510607925406
SAO JOAO BATISTA,0.4964842287558863,0.4873310728277795
SAO JOAO DO ITAPERIU,0.35379938725343724,0.3274284156494432
SAO JOAO DO OESTE,0.5399918384003265,0.5360887566599781
SAO JOAO DO SUL,0.22352898992434295,0.18143825674218267
SAO JOAQUIM,0.11852905200098549,0.06376794992674541
SAO JOSE,0.10556524764984769,0.049239800047198246
SAO JOSE DO CEDRO,0.2981492173670286,0.26506292577987045
SAO JOSE DO CERRITO,0.2579718471703533,0.22003734222637292
SAO LOURENCO DO OESTE,0.38771454833324526,0.3654361277384635
SAO LUDGERO,0.34640522875817,0.31914200219065464
SAO MARTINHO,0.297672193877551,0.26452833974605805
SAO MIGUEL DA BOA VISTA,0.5328798185941044,0.5281185276367335
SAO MIGUEL DO OESTE,0.3123490895806795,0.28097630014148145
SAO PEDRO DE ALCANTARA,0.15621063240110858,0.10599657610183477
SAUDADES,0.21779609291754765,0.17501356961309777
SCHROEDER,0.12187236375003747,0.06751469994461459
SEARA,0.7836573745438592,0.8091574742747084
SERRA ALTA,0.29935185185185187,0.266410682470158
SIDEROPOLIS,0.12393081578446695,0.06982154590325679
SOMBRIO,0.3598466108496843,0.3342053592365083
SUL BRASIL,0.42997917000480695,0.41280083192677647
TAIO,0.1743018769015365,0.12627089562183602
TANGARA,0.5058113419844387,0.4977836911532035
TIGRINHOS,0.6484235574063059,0.6576049584435656
TIJUCAS,0.18428267159125886,0.13745607531459714
TIMBE DO SUL,0.23868067948972171,0.19841830449451345
TIMBO,0.09184476827751789,0.03386366698152547
TIMBO GRANDE,0.3067659792451583,0.2747194744789296
TRES BARRAS,0.3511184955515581,0.32442402007228255
TREVISO,0.6608742489364502,0.6715580780490824
TREZE DE MAIO,0.3386255923054349,0.31042359505241324
TREZE TILIAS,0.4421394559325732,0.42642850261290727
TROMBUDO CENTRAL,0.2571654830049368,0.21913367389450406
