municipio,def_mean,ppt_std,ws_std,dtr_mean
Florianópolis,0.06554765203904453,0.21637459643577217,0.9201788504695166,0.06826291017654869
Fraiburgo,0.10782332554979718,0.20606441560807412,0.3984993321373396,0.6943361379027293
Forquilhinha,0.4847444530402841,0.030245088110412523,0.641005186714889,0.5602298378822081
Curitibanos,0.09193790001986589,0.2609380132923315,0.40794656336802493,0.6254632368030323
Cunhataí,0.6664737774026867,0.8146728825394712,0.12443966352512532,0.750974758875436
Pinheiro Preto,0.1339390987055217,0.27365224333111016,0.34230108058479547,0.7109583418838499
Balneário Piçarras,0.10584604437383903,0.37625726766806455,0.598604994394271,0.36250769546480566
Pinhalzinho,0.42295496009829586,0.7070389995210153,0.23170761190138855,0.8105376564744512
Cunha Porã,0.49613394065009364,0.8296695427694796,0.1588348824797608,0.8097681099938436
Pomerode,0.10214598355942228,0.28226232310167665,0.12015153868503524,0.3985224707572334
Dionísio Cerqueira,0.25146399331455116,0.7526323599908619,0.36549529944053194,0.9756207674943566
Ponte Alta,0.07479559376396666,0.13164108890195986,0.2928510316151608,0.5828958778787658
