municipio,empregos,empresas,populacao,empregos_pc,empresas_pc,exposure_index_pc
NAVEGANTES,12205,581,86401.0,0.2685934281268264,0.2576461068837133,0.2631197675052699
NOVA ERECHIM,871,47,5155.0,0.3223942884532283,0.36380667222013596,0.34310048033668217
NOVA ITABERABA,384,43,4536.0,0.15866236191671682,0.37988251299809944,0.26927243745740814
NOVA TRENTO,5095,322,13727.0,0.7150975261192002,1.0,0.8575487630596001
NOVA VENEZA,5492,211,13664.0,0.7748481191306619,0.6443994355222221,0.709623777326442
NOVO HORIZONTE,291,14,2643.0,0.20808150219454233,0.19431769848991057,0.20119960034222645
ORLEANS,3808,225,23661.0,0.3068142148593185,0.38119576865009047,0.34400499175470445
OTACILIO COSTA,3278,117,17312.0,0.361986696071312,0.25914824120186297,0.31056746863658746
OURO,347,56,7032.0,0.09008590101226514,0.312620077367812,0.20135298919003858
OURO VERDE,7,2,2181.0,0.00048398488705286754,0.0,0.00024199244352643377
PAIAL,141,10,1927.0,0.13635651176938512,0.18954416596632226,0.1629503388678537
PAINEL,16,6,2215.0,0.00827950766246432,0.07949248193011671,0.04388599479629052
PALHOCA,16859,1457,222598.0,0.14134132532624374,0.24970359210890222,0.19552245871757298
PALMA SOLA,288,37,7605.0,0.06779816665928237,0.1751614036819247,0.12147978517060354
PALMEIRA,422,41,2561.0,0.3142708395433748,0.6695690704261761,0.4919199549847755
PALMITOS,1125,104,15626.0,0.13407387013680086,0.25459003261441154,0.19433195137560622
PAPANDUVA,1363,105,19150.0,0.13248044904917847,0.20257033255285659,0.16752539080101753
PARAISO,561,19,4267.0,0.24958823237941305,0.15686346061799705,0.20322584649870507
PASSO DE TORRES,383,78,12897.0,0.051925291441761945,0.22763151917119664,0.13977840530647928
PASSOS MAIA,269,26,4034.0,0.12375698000196876,0.24525753225297514,0.18450725612747196
PAULO LOPES,992,88,9063.0,0.20682665144632004,0.3900904599576199,0.29845855570196994
PEDRAS GRANDES,1260,39,4245.0,0.5707081905723218,0.3669085399297978,0.4688083652510598
PENHA,2587,281,33663.0,0.1435019761264779,0.3296494393612189,0.2365757077438484
PERITIBA,265,36,2992.0,0.1662626920157744,0.49311771351267514,0.3296902027642248
PESCARIA BRAVA,391,66,10190.0,0.06877141650061704,0.24666489392305907,0.15771815521183805
PETROLANDIA,450,54,6716.0,0.12438035213553744,0.3160319632396709,0.22020615768760418
PINHALZINHO,4596,257,21972.0,0.40049274217583397,0.4782386284748207,0.4393656853253273
PINHEIRO PRETO,1084,59,3473.0,0.6004269756972124,0.7129943383118263,0.6567106570045194
PIRATUBA,214,50,5769.0,0.06629301888693657,0.34382706871280533,0.20506004379987094
PLANALTO ALEGRE,194,20,2946.0,0.12214271504171177,0.26050351072637207,0.1913231128840419
POMERODE,10742,338,34289.0,0.6026724972691088,0.3966377924410088,0.4996551448550588
PONTE ALTA,390,29,4437.0,0.16495702737981277,0.24928283831685447,0.20711993284833363
PONTE ALTA DO NORTE,590,54,3210.0,0.3512122318486082,0.705640224336292,0.5284262280924501
PONTE SERRADA,639,84,10649.0,0.11078840859120306,0.30926918933187497,0.21002879896153903
PORTO BELO,3326,381,27688.0,0.22754552085640736,0.5697972573218639,0.39867138908913563
PORTO UNIAO,3055,183,32970.0,0.1742068559988497,0.20556370032709254,0.18988527816297113
POUSO REDONDO,2932,191,17123.0,0.32680192114381273,0.4541877118854463,0.39049481651462953
PRAIA GRANDE,703,69,8270.0,0.15934202619840943,0.3294704778514963,0.24440625202495286
PRESIDENTE CASTELLO BRANCO,5,4,1689.0,0.0,0.064384576659076,0.032192288329538
PRESIDENTE GETULIO,5673,262,20010.0,0.5448556752135539,0.5402050447744055,0.5425303599939797
