municipio,def_mean,ppt_std,ws_std,dtr_mean,hazard_mean,hazard_max,hazard_index
Ponte Serrada,0.07644132827196631,0.4674298130386956,0.42749946051546106,0.7956084547506667,0.4417447641441974,0.7956084547506667,0.6186766094474321
Erval Velho,0.2770704074490702,0.37426162421256715,0.37630536141078386,0.669290897897506,0.42423207274248176,0.669290897897506,0.5467614853199938
Ermo,0.3505068557567533,0.01800178306165582,0.548652189261597,0.3931869484916888,0.3275869441429237,0.548652189261597,0.4381195667022604
Frei Rogério,0.103721935387785,0.2937392579779976,0.4581752265308193,0.6581674533141799,0.3784509683026955,0.6581674533141799,0.5183092108084377
Pouso Redondo,0.07207347282496526,0.11176022875989479,0.2057427922799948,0.563855256857514,0.2383579376805922,0.563855256857514,0.4011065972690531
Praia Grande,0.09011815054161744,0.05263424321426392,0.49648351321302303,0.2568312049124689,0.22401677797034333,0.49648351321302303,0.36025014559168317
Galvão,0.08211867026234121,0.46898096193579547,0.4240553031040546,0.9900618568790126,0.491304198045301,0.9900618568790126,0.7406830274621568
Formosa do Sul,0.14216145607089223,0.5833304796656957,0.29392066177388687,0.9098091524728095,0.4823054374958211,0.9098091524728095,0.6960572949843153
Porto União,0.09681450263282888,0.0,0.17127922151719488,0.798803904898713,0.26672440726218416,0.798803904898713,0.5327641560804486
Florianópolis,0.06554765203904453,0.21637459643577217,0.9201788504695166,0.06826291017654869,0.3175910022802205,0.9201788504695166,0.6188849263748686
Fraiburgo,0.10782332554979718,0.20606441560807412,0.3984993321373396,0.6943361379027293,0.35168080279948505,0.6943361379027293,0.5230084703511072
Forquilhinha,0.4847444530402841,0.030245088110412523,0.641005186714889,0.5602298378822081,0.4290561414369485,0.641005186714889,0.5350306640759188
Curitibanos,0.09193790001986589,0.2609380132923315,0.40794656336802493,0.6254632368030323,0.3465714283708137,0.6254632368030323,0.486017332586923
Cunhataí,0.6664737774026867,0.8146728825394712,0.12443966352512532,0.750974758875436,0.5891402705856797,0.8146728825394712,0.7019065765625755
Pinheiro Preto,0.1339390987055217,0.27365224333111016,0.34230108058479547,0.7109583418838499,0.36521269112631927,0.7109583418838499,0.5380855165050846
Balneário Piçarras,0.10584604437383903,0.37625726766806455,0.598604994394271,0.36250769546480566,0.3608040004752451,0.598604994394271,0.479704497434758
Pinhalzinho,0.42295496009829586,0.7070389995210153,0.23170761190138855,0.8105376564744512,0.5430598069987878,0.8105376564744512,0.6767987317366195
Cunha Porã,0.49613394065009364,0.8296695427694796,0.1588348824797608,0.8097681099938436,0.5736016189732944,0.8296695427694796,0.701635580871387
Pomerode,0.10214598355942228,0.28226232310167665,0.12015153868503524,0.3985224707572334,0.2257705790258419,0.3985224707572334,0.31214652489153766
Dionísio Cerqueira,0.25146399331455116,0.7526323599908619,0.36549529944053194,0.9756207674943566,0.5863031050600754,0.9756207674943566,0.780961936277216
Ponte Alta,0.07479559376396666,0.13164108890195986,0.2928510316151608,0.5828958778787658,0.2705458980399633,0.5828958778787658,0.4267208879593646
Dona Emma,0.13368024671438963,0.08610830853232238,0.14657205979034402,0.5888227648949996,0.23879584498301393,0.5888227648949996,0.4138093049390068
Piratuba,0.5769186017648592,0.5165897869823913,0.24970157530043774,0.6310794171967987,0.4935723453111217,0.6310794171967987,0.5623258812539602
Descanso,0.6178933493022891,0.9665329622600694,0.08328082463992474,0.8779499281756618,0.6364142660944863,0.9665329622600694,0.8014736141772778
Planalto Alegre,0.7375058090868598,0.7262045089864281,0.06504901888217392,0.6778165401190231,0.5516439692686212,0.7375058090868598,0.6445748891777405
Cocal do Sul,0.28399712062353394,0.10535312465149424,0.6648795090434645,0.6078391134824542,0.4155172169502367,0.6648795090434645,0.5401983629968505
Cordilheira Alta,0.5275981615015782,0.7574692598945263,0.06406763700038022,0.6915657705725424,0.5101752072422567,0.7574692598945263,0.6338222335683915
Penha,0.10461269076903343,0.3658200296054681,0.7829231489295321,0.3846706341062999,0.4095066258525834,0.7829231489295321,0.5962148873910578
Concórdia,0.4187800422112279,0.6214382228922576,0.2259588525861992,0.6863543302201497,0.48813286197745853,0.6863543302201497,0.587243596098804
Celso Ramos,0.43597369259346597,0.44059153612229796,0.42553823519284295,0.5943977016211776,0.4741252913824461,0.5943977016211776,0.5342614965018118
Paulo Lopes,0.09702332440718747,0.22783032836087702,0.7981326716452197,0.06854093987276816,0.2978818160715131,0.7981326716452197,0.5480072438583664
Caxambu do Sul,0.9007424426710352,0.7455405571300362,0.054077225572754885,0.6804843012517954,0.5952111316564055,0.9007424426710352,0.7479767871637204
