municipio,ano,exposure_index
ANITA GARIBALDI,2018,0.10670151910527198
ANITA GARIBALDI,2019,0.12582695064384977
ANITA GARIBALDI,2020,0.1365388073603187
ANITA GARIBALDI,2021,0.13192597378118617
ANITA GARIBALDI,2022,0.10796872622237569
ANITA GARIBALDI,2023,0.10486656222820626
ANITAPOLIS,2002,0.09422022572381249
ANITAPOLIS,2003,0.09720530747882812
ANITAPOLIS,2004,0.09960151466788542
ANITAPOLIS,2005,0.09660712351083983
ANITAPOLIS,2006,0.10191205242439244
ANITAPOLIS,2007,0.10455460105817842
ANITAPOLIS,2008,0.08942878138897231
ANITAPOLIS,2009,0.09547848728626114
ANITAPOLIS,2010,0.11458471162939306
ANITAPOLIS,2011,0.0751242691633569
ANITAPOLIS,2012,0.08401659450172623
ANITAPOLIS,2013,0.07968559178391807
ANITAPOLIS,2014,0.07680351430610396
ANITAPOLIS,2015,0.08198244711135395
ANITAPOLIS,2016,0.08145017186432624
ANITAPOLIS,2017,0.07312509998650635
ANITAPOLIS,2018,0.09438497338974017
ANITAPOLIS,2019,0.1057090037009101
ANITAPOLIS,2020,0.11445835315824456
ANITAPOLIS,2021,0.09106565782064668
ANITAPOLIS,2022,0.1042919602262298
ANITAPOLIS,2023,0.11972524331502675
ANTONIO CARLOS,2002,0.19584336173250844
ANTONIO CARLOS,2003,0.2257827800432582
ANTONIO CARLOS,2004,0.22389245631700433
ANTONIO CARLOS,2005,0.22725568129717144
ANTONIO CARLOS,2006,0.27112192936865465
ANTONIO CARLOS,2007,0.24833658557748717
ANTONIO CARLOS,2008,0.24898902540625495
ANTONIO CARLOS,2009,0.2591928854477453
ANTONIO CARLOS,2010,0.21721103050783525
ANTONIO CARLOS,2011,0.21446627363794182
ANTONIO CARLOS,2012,0.23734833421049778
ANTONIO CARLOS,2013,0.32842321714935185
ANTONIO CARLOS,2014,0.23114954803625676
ANTONIO CARLOS,2015,0.23112968963043112
ANTONIO CARLOS,2016,0.26005787819143944
ANTONIO CARLOS,2017,0.28449622961303417
ANTONIO CARLOS,2018,0.2573458950484553
ANTONIO CARLOS,2019,0.2622843207888441
ANTONIO CARLOS,2020,0.26396385905138936
ANTONIO CARLOS,2021,0.2476995678364406
ANTONIO CARLOS,2022,0.23377913643895487
ANTONIO CARLOS,2023,0.2488788708162587
APIUNA,2002,0.3860207250487101
APIUNA,2003,0.37075486326048546
APIUNA,2004,0.33073109589427474
APIUNA,2005,0.3072607748643056
APIUNA,2006,0.47112346518297
APIUNA,2007,0.4607719072661175
APIUNA,2008,0.4475920677663635
APIUNA,2009,0.5301175304148006
APIUNA,2010,0.4881541520582474
APIUNA,2011,0.4172188159875275
APIUNA,2012,0.4554031264532392
APIUNA,2013,0.43781635172461386
APIUNA,2014,0.47340150704575457
APIUNA,2015,0.44469195078401025
APIUNA,2016,0.5138075867130102
APIUNA,2017,0.5130890217268049
APIUNA,2018,0.5029864136283904
APIUNA,2019,0.5319595186068675
APIUNA,2020,0.5298038563175806
APIUNA,2021,0.5584481563600081
APIUNA,2022,0.5253614429455318
APIUNA,2023,0.514912869112841
ARABUTA,2002,0.10228990680233116
ARABUTA,2003,0.0988101333837767
ARABUTA,2004,0.09937325834499235
ARABUTA,2005,0.12121702853928222
ARABUTA,2006,0.13263278828676317
ARABUTA,2007,0.13373210718640044
ARABUTA,2008,0.13451390465144064
ARABUTA,2009,0.13767080716555002
ARABUTA,2010,0.12406500499366177
ARABUTA,2011,0.10828162433127866
ARABUTA,2012,0.12360426153864199
ARABUTA,2013,0.10435692416157213
ARABUTA,2014,0.10800727868648104
ARABUTA,2015,0.1195503379773609
ARABUTA,2016,0.14385031974740575
ARABUTA,2017,0.14160622619387658
ARABUTA,2018,0.1529821479742559
ARABUTA,2019,0.20683411856018838
ARABUTA,2020,0.20425859460479712
ARABUTA,2021,0.20655043495581354
ARABUTA,2022,0.2230164445531189
ARABUTA,2023,0.22422347387379196
ARAQUARI,2002,0.0750591754423394
ARAQUARI,2003,0.07286391786295417
ARAQUARI,2004,0.0825903335520399
ARAQUARI,2005,0.10771498279549169
ARAQUARI,2006,0.1403590220031864
ARAQUARI,2007,0.16348829122113545
ARAQUARI,2008,0.18234863215545932
ARAQUARI,2009,0.24031973739928503
ARAQUARI,2010,0.27905644292542275
ARAQUARI,2011,0.28803128026421465
ARAQUARI,2012,0.30832430936725996
ARAQUARI,2013,0.3255016382057113
ARAQUARI,2014,0.3803602610292842
ARAQUARI,2015,0.3718064936614788
ARAQUARI,2016,0.4602730609011826
ARAQUARI,2017,0.5101688150556561
ARAQUARI,2018,0.5120318417095581
ARAQUARI,2019,0.5388476788628291
ARAQUARI,2020,0.5668734661696151
ARAQUARI,2021,0.5596554619689762
ARAQUARI,2022,0.548425572893106
ARAQUARI,2023,0.5750877466039263
ARARANGUA,2002,0.23350517062103812
ARARANGUA,2003,0.24320017329737842
ARARANGUA,2004,0.25419554571334757
ARARANGUA,2005,0.23404109828283476
ARARANGUA,2006,0.2639442142435119
ARARANGUA,2007,0.257781947884144
ARARANGUA,2008,0.23593816102700865
ARARANGUA,2009,0.2428236674658743
ARARANGUA,2010,0.21523188384040287
ARARANGUA,2011,0.17950248017773932
ARARANGUA,2012,0.18804502247115085
ARARANGUA,2013,0.17695504799116052
ARARANGUA,2014,0.1847982451840759
ARARANGUA,2015,0.17606257859361676
ARARANGUA,2016,0.19722685922293454
ARARANGUA,2017,0.19249419790087172
ARARANGUA,2018,0.18041324722259178
ARARANGUA,2019,0.20337626835776595
ARARANGUA,2020,0.21255666845152377
ARARANGUA,2021,0.20046373036435278
ARARANGUA,2022,0.20198743405271213
ARARANGUA,2023,0.20486924320316385
ARMAZEM,2002,0.3817391514303018
ARMAZEM,2003,0.4092127932174786
ARMAZEM,2004,0.41218548571607616
ARMAZEM,2005,0.44370851568702907
ARMAZEM,2006,0.5115265139076314
ARMAZEM,2007,0.4418450588006855
ARMAZEM,2008,0.4375521821540572
ARMAZEM,2009,0.4775291560667315
ARMAZEM,2010,0.4481522690757579
ARMAZEM,2011,0.3694955095288942
ARMAZEM,2012,0.39343338570884745
ARMAZEM,2013,0.3609190888375645
ARMAZEM,2014,0.3861513254380091
ARMAZEM,2015,0.3810353290855901
ARMAZEM,2016,0.42795447475477116
ARMAZEM,2017,0.43865489370982375
ARMAZEM,2018,0.45677210275539637
ARMAZEM,2019,0.49361388380509674
ARMAZEM,2020,0.49060133792790794
ARMAZEM,2021,0.49733937406466305
ARMAZEM,2022,0.4998911861051226
ARMAZEM,2023,0.4885167934794642
ARROIO TRINTA,2002,0.2800715735034751
ARROIO TRINTA,2003,0.31159100090101816
ARROIO TRINTA,2004,0.2929158327959298
ARROIO TRINTA,2005,0.26180592725222135
ARROIO TRINTA,2006,0.2729192531240182
ARROIO TRINTA,2007,0.30842245737312524
ARROIO TRINTA,2008,0.29410439457691706
ARROIO TRINTA,2009,0.2966113579865478
ARROIO TRINTA,2010,0.22892209313640044
ARROIO TRINTA,2011,0.20619679318379805
ARROIO TRINTA,2012,0.2089273969432346
ARROIO TRINTA,2013,0.2567940299454189
ARROIO TRINTA,2014,0.2794177524429967
ARROIO TRINTA,2015,0.26038908605848265
ARROIO TRINTA,2016,0.2800046505274522
ARROIO TRINTA,2017,0.2897038728718344
ARROIO TRINTA,2018,0.28991082377549726
ARROIO TRINTA,2019,0.3033963238473503
ARROIO TRINTA,2020,0.28775947351680364
ARROIO TRINTA,2021,0.294033036528565
ARROIO TRINTA,2022,0.3111468201778994
ARROIO TRINTA,2023,0.3149234229127839
ARVOREDO,2002,0.0
ARVOREDO,2003,0.014559309721949859
ARVOREDO,2004,0.0
ARVOREDO,2005,0.0
ARVOREDO,2006,0.0
ARVOREDO,2007,0.0
ARVOREDO,2008,0.013576829948925232
ARVOREDO,2009,0.040309453726817414
ARVOREDO,2010,0.013058971686392968
ARVOREDO,2011,0.03152745528497512
ARVOREDO,2012,0.0325638612011829
ARVOREDO,2013,0.03688545317359677
ARVOREDO,2014,0.0486310278370665
ARVOREDO,2015,0.04867536377050144
ARVOREDO,2016,0.06116248199502608
ARVOREDO,2017,0.041138370160851354
ARVOREDO,2018,0.05502085370899087
ARVOREDO,2019,0.09907413705418067
ARVOREDO,2020,0.15149457227445073
ARVOREDO,2021,0.1462564756911972
ARVOREDO,2022,0.12269742452105895
ARVOREDO,2023,0.1537346395187878
ASCURRA,2002,0.47178851918549214
ASCURRA,2003,0.48720184198233585
ASCURRA,2004,0.5349728265010755
ASCURRA,2005,0.4671818183342466
ASCURRA,2006,0.7773588194232133
ASCURRA,2007,0.6271492097115839
ASCURRA,2008,0.5810487771257464
ASCURRA,2009,0.6708359998276181
ASCURRA,2010,0.5993045550402488
ASCURRA,2011,0.5389025749427456
ASCURRA,2012,0.5709346645223672
ASCURRA,2013,0.5266289897342834
ASCURRA,2014,0.5334923034114057
ASCURRA,2015,0.5163768653075396
ASCURRA,2016,0.6019064400267323
ASCURRA,2017,0.5942088881727425
ASCURRA,2018,0.5950344762803064
ASCURRA,2019,0.5992570843740171
ASCURRA,2020,0.5762405213697886
ASCURRA,2021,0.5845807486973572
ASCURRA,2022,0.5858196676025313
ASCURRA,2023,0.5816269920683896
ATALANTA,2002,0.198640960934773
ATALANTA,2003,0.19912143942892177
ATALANTA,2004,0.20769143508806273
ATALANTA,2005,0.18110018607403885
ATALANTA,2006,0.22367941402632563
ATALANTA,2007,0.18719474239497927
ATALANTA,2008,0.22397934958748805
ATALANTA,2009,0.22611809174730546
ATALANTA,2010,0.20174896542758322
ATALANTA,2011,0.22145471817023749
ATALANTA,2012,0.2169202539396015
ATALANTA,2013,0.19732061868302211
ATALANTA,2014,0.2691760403826981
ATALANTA,2015,0.2756542909319211
ATALANTA,2016,0.2454136629911675
ATALANTA,2017,0.2828371813207081
ATALANTA,2018,0.24593215011705422
ATALANTA,2019,0.21527790491758492
ATALANTA,2020,0.2368087411687875
ATALANTA,2021,0.310390033239215
ATALANTA,2022,0.3070701905071181
ATALANTA,2023,0.30013167199240376
AURORA,2002,0.1022031914562609
AURORA,2003,0.09785372478399522
AURORA,2004,0.11309217753089269
AURORA,2005,0.12239981557888356
AURORA,2006,0.1471769044107697
AURORA,2007,0.13585803376072314
AURORA,2008,0.14760678993232673
AURORA,2009,0.18738194388510448
AURORA,2010,0.1742400143135805
AURORA,2011,0.1282976430017165
AURORA,2012,0.15415832522072545
AURORA,2013,0.1434382330163775
AURORA,2014,0.15962380886432562
AURORA,2015,0.16945405595847382
AURORA,2016,0.23627264220686117
AURORA,2017,0.24496480740660626
AURORA,2018,0.2203172777988403
AURORA,2019,0.2396753718667365
AURORA,2020,0.29249746995634096
AURORA,2021,0.32885499205285323
AURORA,2022,0.37223637902762563
AURORA,2023,0.3970737847817872
BALNEARIO ARROIO DO SILVA,2002,0.017530738643876134
BALNEARIO ARROIO DO SILVA,2003,0.0265797823607894
BALNEARIO ARROIO DO SILVA,2004,0.03596874856575742
BALNEARIO ARROIO DO SILVA,2005,0.04735108133039566
BALNEARIO ARROIO DO SILVA,2006,0.06436487677256719
BALNEARIO ARROIO DO SILVA,2007,0.07746029553770474
BALNEARIO ARROIO DO SILVA,2008,0.05530763309097907
BALNEARIO ARROIO DO SILVA,2009,0.07543141942539262
BALNEARIO ARROIO DO SILVA,2010,0.07435182064923104
BALNEARIO ARROIO DO SILVA,2011,0.05828697207609678
BALNEARIO ARROIO DO SILVA,2012,0.05175530002470742
BALNEARIO ARROIO DO SILVA,2013,0.06791655293647259
BALNEARIO ARROIO DO SILVA,2014,0.06880281200562155
BALNEARIO ARROIO DO SILVA,2015,0.06546535014805659
BALNEARIO ARROIO DO SILVA,2016,0.06552711102387002
BALNEARIO ARROIO DO SILVA,2017,0.06755519454776586
BALNEARIO ARROIO DO SILVA,2018,0.051360156643932106
BALNEARIO ARROIO DO SILVA,2019,0.05929063779562539
BALNEARIO ARROIO DO SILVA,2020,0.052691052182375506
BALNEARIO ARROIO DO SILVA,2021,0.037700098635246086
BALNEARIO ARROIO DO SILVA,2022,0.039940541346058366
BALNEARIO ARROIO DO SILVA,2023,0.03821587788908273
BALNEARIO BARRA DO SUL,2002,0.04864362537780724
BALNEARIO BARRA DO SUL,2003,0.05977807612505415
BALNEARIO BARRA DO SUL,2004,0.055274435736087896
BALNEARIO BARRA DO SUL,2005,0.05568824544343945
BALNEARIO BARRA DO SUL,2006,0.08489605662169576
BALNEARIO BARRA DO SUL,2007,0.10683400446119988
BALNEARIO BARRA DO SUL,2008,0.09513241481406336
BALNEARIO BARRA DO SUL,2009,0.09036347757287058
BALNEARIO BARRA DO SUL,2010,0.08873650341310109
